team,grupo
Angoulême,A
Aviron Bayonnais FC,A
Avranches,A
Bordeaux,A
Chateaubriant Voltigeurs,A
Chauray,A
Dinan Léhon,A
Granville,A
La Roche-sur-Yon Vendée Football,A
Les Herbiers,A
Lorient II,A
Montlouis,A
Saint-Colomban Locminé,A
Saumur,A
St Malo US,A
Stade Poitevin,A
Bastia-Borgo,B
Beauvais AS,B
Biesheim,B
Blois,B
Bourges Foot 18,B
Chambly-Oise,B
Chantilly,B
Dieppe,B
Épinal,B
Feignies-Aulnoye,B
Furiani Agliani,B
Haguenau,B
St-Pryvé St-Hilaire,B
Stadium Racing Colmar,B
Thionville Lusitanos,B
Wasquehal,B
Andrézieux,C
Cannes,C
Créteil,C
FC 93 Bobigny BG,C
Fréjus St-Raphaël,C
GOAL FC,C
Grasse,C
Hyères FC,C
Istres,C
Limonest,C
Nîmes,C
Rousset-Ste Victoire,C
Rumilly Vallières,C
Saint-Priest,C
St Maur Lusitanos,C
Toulon,C
